Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
131,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",411.8e-3,,,
"Parameters: a=900m, b=0, c=0, d=0, e=0, f=0, g=900m, h=900m",,,,,,
132,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",407.6e-3,,,
"Parameters: a=900m, b=0, c=0, d=0, e=0, f=900m, g=0, h=0",,,,,,
133,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",405.2e-3,,,
"Parameters: a=900m, b=0, c=0, d=0, e=0, f=900m, g=0, h=900m",,,,,,
134,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",401.3e-3,,,
"Parameters: a=900m, b=0, c=0, d=0, e=0, f=900m, g=900m, h=0",,,,,,
135,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",398.1e-3,,,
"Parameters: a=900m, b=0, c=0, d=0, e=0, f=900m, g=900m, h=900m",,,,,,
136,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",394.1e-3,,,
"Parameters: a=900m, b=0, c=0, d=0, e=900m, f=0, g=0, h=0",,,,,,
137,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",392.2e-3,,,
"Parameters: a=900m, b=0, c=0, d=0, e=900m, f=0, g=0, h=900m",,,,,,
138,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",388.3e-3,,,
"Parameters: a=900m, b=0, c=0, d=0, e=900m, f=0, g=900m, h=0",,,,,,
139,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",385e-3,,,
"Parameters: a=900m, b=0, c=0, d=0, e=900m, f=0, g=900m, h=900m",,,,,,
140,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",381e-3,,,
"Parameters: a=900m, b=0, c=0, d=0, e=900m, f=900m, g=0, h=0",,,,,,
141,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",378.4e-3,,,
"Parameters: a=900m, b=0, c=0, d=0, e=900m, f=900m, g=0, h=900m",,,,,,
142,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",374.4e-3,,,
"Parameters: a=900m, b=0, c=0, d=0, e=900m, f=900m, g=900m, h=0",,,,,,
143,Charge_weighted:LCC_Simple:1,"value(VT(""/VO"") 1e-08)",371.2e-3,,,
"Parameters: a=900m, b=0, c=0, d=0, e=900m, f=900m, g=900m, h=900m",,,,,,
